Range (M),GTL (mils),sinAZ,Galt (M),Talt (M),AOS (mils),Chg,MV (m/s),Drift,QE (mils),TOF,MAX Ord (M),Moz
9003,4800,-1,500,1500,112.6772666,3H,568.7,9,368.7133333,24,1881.689585,1381.689585
9003,4800,-1,500,500,0,3H,568.7,8,251.3711111,23,1211.722462,711.7224618
9005,1600,1,0,0,0,3H,568.7,8,255.3,24,735,735
10004,800,0.7071,500,0,-50.86689109,3H,568.7,9,242.0891571,26.95425667,1178.999153,678.9991529
9998,800,0.7071,0,0,0,3H,568.7,9,303.5,27,989,989
10004,800,0.7071,500,1000,50.86689109,3H,568.7,9,347.6100805,26.95425667,1766.002965,1266.002965
10004,800,0.7071,500,1500,101.4813315,3H,568.7,9,402.2174079,27.95256247,2111.416773,1611.416773
10004,1600,1,500,0,-50.86689109,3H,568.7,10,242.5,27,1181,681
10004,800,0.7071,500,500,0,3H,568.7,9,294.6998729,26.95425667,1454.531554,954.5315544
10004,1600,1,500,1000,50.86689109,3H,568.7,10,348.2,27,1769,1269
10004,1600,1,500,1500,101.4813315,3H,568.7,10,402.9,28,2115,1615
10004,4000,-0.7071,500,0,-50.86689109,3H,568.7,9,246.7580569,27.04582096,1188.937923,688.9379232
10004,1600,1,500,500,0,3H,568.7,10,295.2,27,1457,957
10004,4000,-0.7071,500,1000,50.86689109,3H,568.7,9,352.6374374,27.04582096,1779.682413,1279.682413
10004,4000,-0.7071,500,1500,101.4813315,3H,568.7,9,407.5727309,28.04751803,2136.36956,1636.36956
10004,4800,-1,500,0,-50.86689109,3H,568.7,10,246.34,27,1186.923628,686.9236277
10004,4000,-0.7071,500,500,0,3H,568.7,9,299.5474926,27.04582096,1466.0585,966.0585
10004,4800,-1,500,1000,50.86689109,3H,568.7,10,352.04,27,1776.667279,1276.667279
10004,4800,-1,500,1500,101.4813315,3H,568.7,10,406.8822222,28,2132.750128,1632.750128
12004,800,0.7071,500,0,-42.40266487,3H,568.7,11.7,358.6912749,34.94070309,1830.892842,1330.892842
10004,4800,-1,500,500,0,3H,568.7,10,299.04,27,1463.574708,963.5747076
12004,800,0.7071,500,1000,42.40266487,3H,568.7,12.6,452.7316815,35.93900889,2457.828886,1957.828886
12004,800,0.7071,500,1500,84.65887361,3H,568.7,13.5,501.4490047,35.93900889,2813.225752,2313.225752
12004,1600,1,500,0,-42.40266487,3H,568.7,13,359.3,35,1834,1334
12004,800,0.7071,500,500,0,3H,568.7,12.6,405.1124947,34.94070309,2131.382889,1631.382889
12004,1600,1,500,1000,42.40266487,3H,568.7,14,453.5,36,2462,1962
12004,1600,1,500,1500,84.65887361,3H,568.7,15,502.3,36,2818,2318
12004,4000,-0.7071,500,0,-42.40266487,3H,568.7,11.7,364.8959836,35.05939754,1856.608881,1356.608881
12004,1600,1,500,500,0,3H,568.7,14,405.8,35,2135,1635
12004,4000,-0.7071,500,1000,42.40266487,3H,568.7,12.6,459.3983114,36.06109461,2498.486814,1998.486814
12004,4000,-0.7071,500,1500,84.65887361,3H,568.7,13.5,508.2811286,36.06109461,2859.056751,2359.056751
12004,4800,-1,500,0,-42.40266487,3H,568.7,13,364.2777778,35,1853.463419,1353.463419
12004,4000,-0.7071,500,500,0,3H,568.7,12.6,411.4748975,35.05939754,2162.823249,1662.823249
12004,4800,-1,500,1000,42.40266487,3H,568.7,14,458.62,36,2494.253884,1994.253884
12004,4800,-1,500,1500,84.65887361,3H,568.7,15,507.42,36,2854.212945,2354.212945
13005,800,0.7071,500,0,-39.14226076,3H,568.7,14.4,426.0769166,38.9339263,2273.142313,1773.142313
12004,4800,-1,500,500,0,3H,568.7,14,410.7777778,35,2159.158999,1659.158999
13005,800,0.7071,500,1000,39.14226076,3H,568.7,15.3,518.4202033,40.93053791,2941.008895,2441.008895
13005,800,0.7071,500,1500,78.16925918,3H,568.7,16.2,567.4370182,40.93053791,3322.361711,2822.361711
13005,1600,1,500,0,-39.14226076,3H,568.7,16,426.8,39,2277,1777
13005,800,0.7071,500,500,0,3H,568.7,14.4,471.4,39.93223211,2591.601864,2091.601864
13005,1600,1,500,1000,39.14226076,3H,568.7,17,519.3,41,2946,2446
13005,1600,1,500,1500,78.16925918,3H,568.7,18,568.4,41,3328,2828
13005,4000,-0.7071,500,0,-39.14226076,3H,568.7,14.4,433.0803903,39.06618583,2311.755392,1811.755392
13005,1600,1,500,500,0,3H,568.7,16,472.2,40,2596,2096
13005,4000,-0.7071,500,1000,39.14226076,3H,568.7,15.3,526.0222967,41.06957997,2993.793683,2493.793683
13005,4000,-0.7071,500,1500,78.16925918,3H,568.7,16.2,575.205623,41.06957997,3376.228769,2876.228769
13005,4800,-1,500,0,-39.14226076,3H,568.7,16,432.3466667,39,2307.838822,1807.838822
13005,4000,-0.7071,500,500,0,3H,568.7,14.4,478.699901,40.0678829,2638.854519,2138.854519
13005,4800,-1,500,1000,39.14226076,3H,568.7,17,525.1311111,41,2988.721606,2488.721606
13005,4800,-1,500,1500,78.16925918,3H,568.7,18,574.2311111,41,3370.508772,2870.508772
14005,800,0.7071,500,0,-36.34984652,3H,568.7,17.1,503.6452774,44.92376112,2829.198645,2329.198645
13005,4800,-1,500,500,0,3H,568.7,16,477.8888889,40,2634.383779,2134.383779
14005,800,0.7071,500,1000,36.34984652,3H,568.7,18.9,600.6806014,45.92206692,3588.90936,3088.90936
14005,800,0.7071,500,1500,72.6073438,3H,568.7,19.8,656.4858958,47.91867853,4050.126641,3550.126641
14005,1600,1,500,0,-36.34984652,3H,568.7,19,504.5,45,2834,2334
14005,800,0.7071,500,500,0,3H,568.7,17.1,550.365989,44.92376112,3187.590428,2687.590428
14005,1600,1,500,1000,36.34984652,3H,568.7,21,601.7,46,3595,3095
14005,1600,1,500,1500,72.6073438,3H,568.7,22,657.6,48,4057,3557
14005,4000,-0.7071,500,0,-36.34984652,3H,568.7,17.1,511.7670344,45.07636826,2885.380744,2385.380744
14005,1600,1,500,500,0,3H,568.7,19,551.3,45,3193,2693
14005,4000,-0.7071,500,1000,36.34984652,3H,568.7,18.9,609.2744534,46.07806534,3647.399928,3147.399928
14005,4000,-0.7071,500,1500,72.6073438,3H,568.7,19.8,665.5542469,48.08145948,4103.083832,3603.083832
14005,4800,-1,500,0,-36.34984652,3H,568.7,19,510.9,45,2880.49234,2380.49234
14005,4000,-0.7071,500,500,0,3H,568.7,17.1,558.6464574,45.07636826,3246.141865,2746.141865
14005,4800,-1,500,1000,36.34984652,3H,568.7,21,608.2422222,46,3641.220512,3141.220512
14005,4800,-1,500,1500,72.6073438,3H,568.7,22,664.4266667,48,4096.132398,3596.132398
8000,600,0.5556,200,1000,101.5216558,3H,568.7,7,313.5,20,1248,1048
11000,6300,-0.098,200,400,18.51780757,3H,568.7,12,375.6,31,1617,1417
14005,4800,-1,500,500,0,3H,568.7,19,557.7,45,3240.64226,2740.64226
6997,6000,-0.3827,200,1000,115.9568545,3H,568.7,6,289.1,17,1110,910
6997,2800,0.3827,0,600,87.13213752,3H,568.7,6,260.5,17,759,759
2999,1200,0.9239,200,300,33.95179659,3H,568.7,2,89.1,6,310,110
4001,1600,1,500,500,0,4H,682.7,2,52.1,6,556,56
4001,4800,-1,500,500,0,4H,682.7,2,53.03684211,6,547.562513,47.56251305
6002,1600,1,500,500,0,4H,682.7,3,87.4,11,649,149
6002,1600,1,500,1000,84.65887361,4H,682.7,3,172.4,11,1012,512
6002,4800,-1,500,500,0,4H,682.7,3,89.11754386,11,657.3114138,157.3114138
6002,4800,-1,500,1000,84.65887361,4H,682.7,3,174.1175439,11,1026.515909,526.5159086
8003,1600,1,500,0,-63.55550631,4H,682.7,5,68.6,16,595,95
8003,1600,1,500,500,0,4H,682.7,5,132.1,16,818,318
8003,1600,1,500,1000,63.55550631,4H,682.7,5,196.3,16,1142,642
8003,1600,1,500,1500,126.6199627,4H,682.7,5,260.2,16,1543,1043
8003,4800,-1,500,0,-63.55550631,4H,682.7,5,71.09824561,16,598.8132497,98.81324967
8003,4800,-1,500,500,0,4H,682.7,5,134.5982456,16,836.3604144,336.3604144
8003,4800,-1,500,1000,63.55550631,4H,682.7,5,198.7982456,16,1160.604046,660.6040464
8003,4800,-1,500,1500,126.6199627,4H,682.7,5,262.6982456,16,1558.458437,1058.458437
10004,1600,1,500,0,-50.86689109,4H,682.7,7,138.3,22,846,346
10004,1600,1,500,500,0,4H,682.7,7,189.5,22,1104,604
10004,1600,1,500,1000,50.86689109,4H,682.7,7,241.1,22,1416,916
10004,1600,1,500,1500,101.4813315,4H,682.7,7,292.9,22,1774,1274
10004,4800,-1,500,0,-50.86689109,4H,682.7,7,141.7350877,22,868.3904557,368.3904557
10004,4800,-1,500,500,0,4H,682.7,7,192.9350877,22,1127.718653,627.7186526
10004,4800,-1,500,1000,50.86689109,4H,682.7,7,244.5350877,22,1438.260337,938.2603367
10004,4800,-1,500,1500,101.4813315,4H,682.7,7,296.3350877,22,1795.014641,1295.014641
12000,1600,1,500,0,-42.41678276,4H,682.7,10,218.7,28,1274,774
12000,4800,-1,500,0,-42.41678276,4H,682.7,10,223.0719298,28,1303.387648,803.3876484
12005,1600,1,500,500,0,4H,682.7,10,261.8,29,1554,1054
12005,1600,1,500,1000,42.39913687,4H,682.7,10,305.4,29,1866,1366
12005,1600,1,500,1500,84.65185407,4H,682.7,10,349.6,29,2209,1709
12005,4800,-1,500,500,0,4H,682.7,10,266.3280702,29,1583.126532,1083.126532
12005,4800,-1,500,1000,42.39913687,4H,682.7,10,309.9280702,29,1895.51618,1395.51618
12005,4800,-1,500,1500,84.65185407,4H,682.7,10,354.1280702,29,2240.525118,1740.525118
14005,1600,1,500,0,-36.34984652,4H,682.7,13,312.9,36,1922,1422
14005,1600,1,500,500,0,4H,682.7,13,351.1,36,2221,1721
14005,1600,1,500,1000,36.34984652,4H,682.7,13,389.9,37,2543,2043
14005,1600,1,500,1500,72.6073438,4H,682.7,14,429.4,37,2887,2387
14005,4800,-1,500,0,-36.34984652,4H,682.7,13,318.5210526,36,1960.4468,1460.4468
14005,4800,-1,500,500,0,4H,682.7,13,356.7210526,36,2261.588743,1761.588743
14005,4800,-1,500,1000,36.34984652,4H,682.7,13,395.677193,37,2588.250281,2088.250281
14005,4800,-1,500,1500,72.6073438,4H,682.7,14,435.177193,37,2937.604847,2437.604847
16000,4800,-1,500,0,-31.82063304,4H,682.7,17,433.6263158,45,2923.569335,2423.569335
16006,1600,1,500,0,-31.80871253,4H,682.7,17,426.6,45,2863,2363
16006,1600,1,500,500,0,4H,682.7,18,462.6,45,3189,2689
16006,1600,1,500,1000,31.80871253,4H,682.7,18,499.6,46,3538,3038
16006,1600,1,500,1500,63.55550631,4H,682.7,19,537.7,46,3910,3410
16006,4800,-1,500,500,0,4H,682.7,18,469.6263158,45,3255.575103,2755.575103
16006,4800,-1,500,1000,31.80871253,4H,682.7,18,506.7824561,46,3610.746566,3110.746566
16006,4800,-1,500,1500,63.55550631,4H,682.7,19,544.8824561,46,3986.335053,3486.335053
18006,1600,1,500,0,-28.27751716,4H,682.7,24,576.8,56,4302,3802
18006,1600,1,500,500,0,4H,682.7,25,616.8,57,4715,4215
18006,1600,1,500,1000,28.27751716,4H,682.7,26,660.6,58,5177,4677
18006,1600,1,500,1500,56.51151472,4H,682.7,28,711.4,60,5725,5225
18006,4800,-1,500,0,-28.27751716,4H,682.7,24,585.5438596,56,4397.813042,3897.813042
18006,4800,-1,500,500,0,4H,682.7,25,625.7,57,4812.788707,4312.788707
18006,4800,-1,500,1000,28.27751716,4H,682.7,26,669.6561404,58,5274.248945,4774.248945
18006,4800,-1,500,1500,56.51151472,4H,682.7,28,720.7684211,60,5816.622693,5316.622693
11996,2100,0.8819,0,1000,84.71507178,4H,682.7,11,360.9,30,1767,1767
7003,800,0.7071,500,0,-72.60217733,5H,790.7,3.6,5.595268938,10.99070684,500.5767389,0.576738947
7003,800,0.7071,500,500,0,5H,790.7,3.6,77.83418755,10.99070684,657.4441003,157.4441003
7003,800,0.7071,500,1000,72.60217733,5H,790.7,3.6,150.3728527,10.99070684,1015.14165,515.1416502
7003,800,0.7071,500,1500,144.4740631,5H,790.7,3.6,222.4119403,10.99070684,1498.732751,998.7327513
7003,1600,1,500,0,-72.60217733,5H,790.7,4,5.6,11,501,1
7003,1600,1,500,500,0,5H,790.7,4,77.9,11,658,158
7003,1600,1,500,1000,72.60217733,5H,790.7,4,150.5,11,1016,516
7003,1600,1,500,1500,144.4740631,5H,790.7,4,222.6,11,1500,1000
7003,4000,-0.7071,500,0,-72.60217733,5H,790.7,3.6,7.018655562,10.99070684,478.3830549,-21.61694508
7003,4000,-0.7071,500,500,0,5H,790.7,3.6,79.25757418,10.99070684,674.4200122,174.4200122
7003,4000,-0.7071,500,1000,72.60217733,5H,790.7,3.6,151.7962393,10.99070684,1028.968201,528.9682015
7003,4000,-0.7071,500,1500,144.4740631,5H,790.7,3.6,223.8353269,10.99070684,1518.741637,1018.741637
7003,4800,-1,500,0,-72.60217733,5H,790.7,4,7.024590164,11,478.7875502,-21.21244983
7003,4800,-1,500,500,0,5H,790.7,4,79.32459016,11,674.9902659,174.9902659
7003,4800,-1,500,1000,72.60217733,5H,790.7,4,151.9245902,11,1029.838242,529.8382422
7003,4800,-1,500,1500,144.4740631,5H,790.7,4,224.0245902,11,1520.025804,1020.025804
9003,800,0.7071,500,0,-56.51151472,5H,790.7,5.4,56.55218248,14.98732751,586.5040834,86.50408336
9003,800,0.7071,500,500,0,5H,790.7,5.4,112.5048719,14.98732751,807.3173754,307.3173754
9003,800,0.7071,500,1000,56.51151472,5H,790.7,5.4,168.8572233,14.98732751,1130.044495,630.0444945
9003,800,0.7071,500,1500,112.6772666,5H,790.7,4.5,225.0097437,14.98732751,1532.704027,1032.704027
9003,1600,1,500,0,-56.51151472,5H,790.7,6,56.6,15,587,87
9003,1600,1,500,500,0,5H,790.7,6,112.6,15,808,308
9003,1600,1,500,1000,56.51151472,5H,790.7,6,169,15,1131,631
9003,1600,1,500,1500,112.6772666,5H,790.7,5,225.2,15,1534,1034
9003,4000,-0.7071,500,0,-56.51151472,5H,790.7,5.4,58.49316424,14.98732751,601.1942301,101.1942301
9003,4000,-0.7071,500,500,0,5H,790.7,5.4,114.4458536,14.98732751,827.8457185,327.8457185
9003,4000,-0.7071,500,1000,56.51151472,5H,790.7,5.4,170.7982051,14.98732751,1145.601274,645.6012739
9003,4000,-0.7071,500,1500,112.6772666,5H,790.7,4.5,226.9507255,14.98732751,1542.730333,1042.730333
9003,4800,-1,500,0,-56.51151472,5H,790.7,6,58.54262295,15,601.702568,101.702568
9003,4800,-1,500,500,0,5H,790.7,6,114.542623,15,828.5457008,328.5457008
9003,4800,-1,500,1000,56.51151472,5H,790.7,6,170.942623,15,1146.569933,646.5699334
9003,4800,-1,500,1500,112.6772666,5H,790.7,5,227.142623,15,1544.034783,1044.034783
11004,800,0.7071,500,0,-46.25097707,5H,790.7,7.2,110.3067305,20.98225852,796.3266685,296.3266685
11004,800,0.7071,500,500,0,5H,790.7,7.2,155.7682906,20.98225852,1048.113771,548.1137708
11004,800,0.7071,500,1000,46.25097707,5H,790.7,7.2,201.7294283,20.98225852,1356.852718,856.8527175
11004,800,0.7071,500,1500,92.3120184,5H,790.7,6.3,247.690566,20.98225852,1714.550268,1214.550268
11004,1600,1,500,0,-46.25097707,5H,790.7,8,110.4,21,797,297
11004,1600,1,500,500,0,5H,790.7,8,155.9,21,1049,549
11004,1600,1,500,1000,46.25097707,5H,790.7,8,201.9,21,1358,858
11004,1600,1,500,1500,92.3120184,5H,790.7,7,247.9,21,1716,1216
11004,4000,-0.7071,500,0,-46.25097707,5H,790.7,7.2,113.024105,20.98225852,820.9531536,320.9531536
11004,4000,-0.7071,500,500,0,5H,790.7,7.2,158.4856651,20.98225852,1068.956766,568.9567665
11004,4000,-0.7071,500,1000,46.25097707,5H,790.7,7.2,204.4468028,20.98225852,1374.491423,874.491423
11004,4000,-0.7071,500,1500,92.3120184,5H,790.7,6.3,250.4079405,20.98225852,1730.31749,1230.31749
11004,4800,-1,500,0,-46.25097707,5H,790.7,8,113.1196721,21,821.6473079,321.6473079
11004,4800,-1,500,500,0,5H,790.7,8,158.6196721,21,1069.860619,569.8606194
11004,4800,-1,500,1000,46.25097707,5H,790.7,8,204.6196721,21,1375.65362,875.6536198
11004,4800,-1,500,1500,92.3120184,5H,790.7,7,250.6196721,21,1731.780554,1231.780554
13005,800,0.7071,500,0,-39.14226076,5H,790.7,9.9,171.6548578,26.97718952,1149.028443,649.0284427
13005,800,0.7071,500,500,0,5H,790.7,9,209.8225852,26.97718952,1416.802028,916.8020276
13005,800,0.7071,500,1000,39.14226076,5H,790.7,9,248.3899747,26.97718952,1720.545199,1220.545199
13005,800,0.7071,500,1500,78.16925918,5H,790.7,9,287.2571107,26.97718952,2056.261335,1556.261335
13005,1600,1,500,0,-39.14226076,5H,790.7,11,171.8,27,1150,650
13005,1600,1,500,500,0,5H,790.7,10,210,27,1418,918
13005,1600,1,500,1000,39.14226076,5H,790.7,10,248.6,27,1722,1222
13005,1600,1,500,1500,78.16925918,5H,790.7,10,287.5,27,2058,1558
13005,4000,-0.7071,500,0,-39.14226076,5H,790.7,9.9,175.148625,26.97718952,1173.610652,673.6106517
13005,4000,-0.7071,500,500,0,5H,790.7,9,213.3163524,26.97718952,1439.391953,939.3919529
13005,4000,-0.7071,500,1000,39.14226076,5H,790.7,9,251.8837418,26.97718952,1742.522102,1242.522102
13005,4000,-0.7071,500,1500,78.16925918,5H,790.7,9,290.7508778,26.97718952,2080.274606,1580.274606
13005,4800,-1,500,0,-39.14226076,5H,790.7,11,175.2967213,27,1174.602994,674.6029944
13005,4800,-1,500,500,0,5H,790.7,10,213.4967213,27,1440.609026,940.6090262
13005,4800,-1,500,1000,39.14226076,5H,790.7,10,252.0967213,27,1743.995486,1243.995486
13005,4800,-1,500,1500,78.16925918,5H,790.7,10,290.9967213,27,2082.033576,1582.033576
15005,800,0.7071,500,0,-33.92918634,5H,790.7,11.7,242.7947057,33.9712757,1674.584061,1174.584061
15005,800,0.7071,500,500,0,5H,790.7,11.7,275.7668262,33.9712757,1954.347508,1454.347508
15005,800,0.7071,500,1000,33.92918634,5H,790.7,11.7,309.2385244,33.9712757,2259.089834,1759.089834
15005,800,0.7071,500,1500,67.78324709,5H,790.7,10.8,343.009969,33.9712757,2584.814418,2084.814418
15005,1600,1,500,0,-33.92918634,5H,790.7,13,243,34,1676,1176
15005,1600,1,500,500,0,5H,790.7,13,276,34,1956,1456
15005,1600,1,500,1000,33.92918634,5H,790.7,13,309.5,34,2261,1761
15005,1600,1,500,1500,67.78324709,5H,790.7,12,343.3,34,2587,2087
15005,4000,-0.7071,500,0,-33.92918634,5H,790.7,11.7,247.1942644,33.9712757,1703.903343,1203.903343
15005,4000,-0.7071,500,500,0,5H,790.7,11.7,280.1663849,33.9712757,1985.252727,1485.252727
15005,4000,-0.7071,500,1000,33.92918634,5H,790.7,11.7,313.638083,33.9712757,2293.13957,1793.13957
15005,4000,-0.7071,500,1500,67.78324709,5H,790.7,10.8,347.4095277,33.9712757,2624.640599,2124.640599
15005,4800,-1,500,0,-33.92918634,5H,790.7,13,247.4032787,34,1705.344073,1205.344073
15005,4800,-1,500,500,0,5H,790.7,13,280.4032787,34,1986.931351,1486.931351
15005,4800,-1,500,1000,33.92918634,5H,790.7,13,313.9032787,34,2295.078527,1795.078527
15005,4800,-1,500,1500,67.78324709,5H,790.7,12,347.7032787,34,2626.859856,2126.859856
17006,800,0.7071,500,0,-29.93938268,5H,790.7,14.4,325.3249226,40.96536187,2411.960574,1911.960574
15993,4800,-1,400,400,0,5H,790.7,15,320.6,38,2241,1841
17006,800,0.7071,500,1000,29.93938268,5H,790.7,14.4,384.8745705,40.96536187,3015.450296,2515.450296
17006,800,0.7071,500,1500,59.82712267,5H,790.7,13.5,415.3488032,40.96536187,3344.172346,2844.172346
17006,1600,1,500,0,-29.93938268,5H,790.7,16,325.6,41,2414,1914
15994,1600,1,200,200,0,5H,790.7,15,323.9,38,2075,1875
17006,1600,1,500,1000,29.93938268,5H,790.7,16,385.2,41,3018,2518
17006,1600,1,500,1500,59.82712267,5H,790.7,15,415.7,41,3347,2847
17006,4000,-0.7071,500,0,-29.93938268,5H,790.7,14.4,330.6302727,40.96536187,2457.435857,1957.435857
15994,1600,1,400,400,0,5H,790.7,15,317,38,2224,1824
17006,4000,-0.7071,500,1000,29.93938268,5H,790.7,14.4,390.1799207,40.96536187,3071.555903,2571.555903
17006,4000,-0.7071,500,1500,59.82712267,5H,790.7,13.5,420.6541533,40.96536187,3406.46927,2906.46927
17006,4800,-1,500,0,-29.93938268,5H,790.7,16,330.9098361,41,2459.513734,1959.513734
15995,1600,1,0,0,0,5H,790.7,15,331,38,1927,1927
17006,4800,-1,500,1000,29.93938268,5H,790.7,16,390.5098361,41,3074.153047,2574.153047
17006,4800,-1,500,1500,59.82712267,5H,790.7,15,421.0098361,41,3409.349599,2909.349599
19007,800,0.7071,500,0,-26.78899286,5H,790.7,17.1,422.4428048,49.95775838,3423.105604,2923.105604
17006,800,0.7071,500,500,0,5H,790.7,14.4,354.8,40.96536187,2704.713039,2204.713039
19007,800,0.7071,500,1000,26.78899286,5H,790.7,17.1,478.4954097,49.95775838,4066.561532,3566.561532
19007,800,0.7071,500,1500,53.54097745,5H,790.7,17.1,507.6707406,49.95775838,4415.266685,3915.266685
19007,1600,1,500,0,-26.78899286,5H,790.7,19,422.8,50,3426,2926
17006,1600,1,500,500,0,5H,790.7,16,355.1,41,2707,2207
19007,1600,1,500,1000,26.78899286,5H,790.7,19,478.9,50,4070,3570
19007,1600,1,500,1500,53.54097745,5H,790.7,19,508.1,50,4419,3919
19007,4000,-0.7071,500,0,-26.78899286,5H,790.7,17.1,428.912744,49.95775838,3499.37753,2999.37753
17006,4000,-0.7071,500,500,0,5H,790.7,14.4,360.1053501,40.96536187,2754.29016,2254.29016
19007,4000,-0.7071,500,1000,26.78899286,5H,790.7,17.1,484.9653489,49.95775838,4151.312651,3651.312651
19007,4000,-0.7071,500,1500,53.54097745,5H,790.7,17.1,514.1406798,49.95775838,4503.442892,4003.442892
19007,4800,-1,500,0,-26.78899286,5H,790.7,19,429.2754098,50,3502.336417,3002.336417
17006,4800,-1,500,500,0,5H,790.7,16,360.4098361,41,2756.619041,2256.619041
19007,4800,-1,500,1000,26.78899286,5H,790.7,19,485.3754098,50,4154.82278,3654.82278
19007,4800,-1,500,1500,53.54097745,5H,790.7,19,514.5754098,50,4507.250764,4007.250764
21007,800,0.7071,500,0,-24.23952377,5H,790.7,20.7,544.1399043,59.94931005,4864.886511,4364.886511
17994,1600,1,0,0,0,5H,790.7,18,424.3,47,2878,2878
21007,800,0.7071,500,1000,24.23952377,5H,790.7,21.6,602.9901436,60.94846522,5617.250352,5117.250352
21007,800,0.7071,500,1500,48.45162482,5H,790.7,21.6,635.0630245,61.94762039,6037.894678,5537.894678
21007,1600,1,500,0,-24.23952377,5H,790.7,23,544.6,60,4869,4369
19007,800,0.7071,500,500,0,5H,790.7,17.1,450.119403,49.95775838,3735.841172,3235.841172
21007,1600,1,500,1000,24.23952377,5H,790.7,24,603.5,61,5622,5122
21007,1600,1,500,1500,48.45162482,5H,790.7,24,635.6,62,6043,5543
21007,4000,-0.7071,500,0,-24.23952377,5H,790.7,20.7,551.9038313,59.94931005,4969.655899,4469.655899
19007,1600,1,500,500,0,5H,790.7,19,450.5,50,3739,3239
21007,4000,-0.7071,500,1000,24.23952377,5H,790.7,21.6,610.8834694,60.94846522,5715.391426,5215.391426
21007,4000,-0.7071,500,1500,48.45162482,5H,790.7,21.6,643.0857491,61.94762039,6128.467169,5628.467169
21007,4800,-1,500,0,-24.23952377,5H,790.7,23,552.3704918,60,4973.857976,4473.857976
19007,4000,-0.7071,500,500,0,5H,790.7,17.1,456.5893422,49.95775838,3816.860608,3316.860608
21007,4800,-1,500,1000,24.23952377,5H,790.7,24,611.4,61,5720.224057,5220.224057
21007,4800,-1,500,1500,48.45162482,5H,790.7,24,643.6295082,62,6133.649075,5633.649075
19007,4800,-1,500,500,0,5H,790.7,19,456.9754098,50,3820.087942,3320.087942
19991,4800,-1,400,400,0,5H,790.7,21,519.5,55,4407,4007
19993,1600,1,400,400,0,5H,790.7,21,513.5,55,4364,3964
21007,800,0.7071,500,500,0,5H,790.7,20.7,572.8156576,60.94846522,5227.579837,4727.579837
21007,1600,1,500,500,0,5H,790.7,23,573.3,61,5232,4732
21007,4000,-0.7071,500,500,0,5H,790.7,20.7,580.7089834,60.94846522,5331.667143,4831.667143
18993,200,0.1951,0,800,42.87852976,5H,790.7,20,528.9,52,4059,4059
21007,4800,-1,500,500,0,5H,790.7,23,581.2,61,5336.175317,4836.175317
20992,100,0.098,200,0,-9.704276082,5H,790.7,24,591,62,5066,4866
